          	     	Total   	Interval 	Highest	Hi Time  	Lowest 	Lo Time  
Date      	Time 	(counts)	(minutes)	(cpm)  	(seconds)	(cpm)  	(seconds)
2023/08/10	12:03	42      	1        	52     	45       	30     	37       	
2023/08/10	12:04	32      	1        	50     	0        	20     	18       	
2023/08/10	12:05	42      	1        	60     	19       	28     	43       	
2023/08/10	12:06	30      	1        	40     	16       	22     	56       	
2023/08/10	12:07	42      	1        	54     	56       	20     	0        	
2023/08/10	12:08	32      	1        	56     	3        	26     	51       	
2023/08/10	12:09	34      	1        	42     	12       	28     	42       	
2023/08/10	12:10	48      	1        	56     	30       	32     	0        	
2023/08/10	12:11	35      	1        	50     	13       	32     	28       	
2023/08/10	12:12	33      	1        	44     	51       	22     	20       	
2023/08/10	12:13	32      	1        	46     	39       	26     	14       	
2023/08/10	12:14	33      	1        	42     	51       	22     	8        	
2023/08/10	12:15	47      	1        	48     	30       	24     	41       	
2023/08/10	12:16	39      	1        	66     	11       	28     	41       	
2023/08/10	12:17	32      	1        	44     	8        	24     	55       	
2023/08/10	12:18	41      	1        	50     	59       	30     	39       	
2023/08/10	12:19	40      	1        	50     	0        	34     	56       	
2023/08/10	12:20	41      	1        	52     	7        	36     	17       	
2023/08/10	12:21	23      	1        	42     	1        	14     	56       	
2023/08/10	12:22	39      	1        	54     	36       	14     	0        	
2023/08/10	12:23	45      	1        	60     	29       	22     	7        	
2023/08/10	12:24	36      	1        	42     	39       	30     	0        	
2023/08/10	12:25	47      	1        	56     	42       	32     	0        	
2023/08/10	12:26	40      	1        	48     	30       	30     	56       	
2023/08/10	12:27	40      	1        	52     	26       	32     	0        	
2023/08/10	12:28	44      	1        	50     	18       	32     	6        	
2023/08/10	12:29	42      	1        	48     	39       	38     	7        	
2023/08/10	12:30	41      	1        	48     	2        	26     	32       	
2023/08/10	12:31	43      	1        	54     	18       	32     	57       	
2023/08/10	12:32	36      	1        	48     	55       	24     	29       	
2023/08/10	12:33	31      	1        	46     	0        	28     	36       	
2023/08/10	12:34	40      	1        	46     	33       	24     	8        	
2023/08/10	12:35	64      	1        	76     	59       	36     	1        	
2023/08/10	12:36	28      	1        	74     	0        	20     	57       	
2023/08/10	12:37	39      	1        	46     	37       	20     	1        	
2023/08/10	12:38	41      	1        	46     	17       	32     	47       	
2023/08/10	12:39	49      	1        	58     	57       	38     	0        	
2023/08/10	12:40	46      	1        	60     	25       	34     	55       	
2023/08/10	12:41	48      	1        	60     	32       	38     	0        	
2023/08/10	12:42	39      	1        	50     	24       	30     	47       	
2023/08/10	12:43	33      	1        	44     	30       	22     	59       	
2023/08/10	12:44	52      	1        	64     	28       	22     	0        	
